,location,event,date,artists,genre,coordinates
221,Bale (Basel),JAZZFESTIVAL BASEL,2008-04-18,[RANDY WESTON],,"(47.5595986, 7.5885761)"
222,Bale (Basel),JAZZFESTIVAL BASEL,2008-04-19,[ANDY SCHERRER],,"(47.5595986, 7.5885761)"
223,Bale (Basel),JAZZFESTIVAL BASEL,2008-04-20,"[TORD GUSTAVSEN, ANGELIQUE KIDJO]",,"(47.5595986, 7.5885761)"
224,Bale (Basel),JAZZFESTIVAL BASEL,2008-04-21,"[MARC BUKHALTER, KASPAR EWALD'S]",,"(47.5595986, 7.5885761)"
225,Bale (Basel),JAZZFESTIVAL BASEL,2008-04-22,"[CHRISTIAN MUTHSPIEL, GABRIEL BEUERLE]",,"(47.5595986, 7.5885761)"
226,Bale (Basel),JAZZFESTIVAL BASEL,2008-04-23,"[LUCAS NIGGLI, NOEMI CAMPISI]",,"(47.5595986, 7.5885761)"
227,Bale (Basel),JAZZFESTIVAL BASEL,2008-04-24,[TIM BERNE],,"(47.5595986, 7.5885761)"
228,Bale (Basel),JAZZFESTIVAL BASEL,2008-04-25,"[MIROSLAV VITOUS, MARIA PIA DE VITO]",,"(47.5595986, 7.5885761)"
229,Bale (Basel),JAZZFESTIVAL BASEL,2008-04-26,[LADY BIRD JAZZTET],,"(47.5595986, 7.5885761)"
230,Bale (Basel),JAZZFESTIVAL BASEL,2008-04-27,[STEPHAN KURMANN],,"(47.5595986, 7.5885761)"
231,Bale (Basel),JAZZFESTIVAL BASEL,2008-04-28,[WAYNE SHORTER],,"(47.5595986, 7.5885761)"
232,Bale (Basel),JAZZFESTIVAL BASEL,2008-04-29,"[RICHARD BONA, DAVE WECKL]",,"(47.5595986, 7.5885761)"
233,Bale (Basel),JAZZFESTIVAL BASEL,2008-04-30,[JOE LOVANO],,"(47.5595986, 7.5885761)"
234,Bale (Basel),JAZZFESTIVAL BASEL,2008-05-01,[ROBERTO FONSECA],,"(47.5595986, 7.5885761)"
235,Bulle,FRANCOMANIAS,2008-05-02,"[NOUR, AaRON]",,"(46.6154512, 7.057726799999999)"
236,Bulle,FRANCOMANIAS,2008-05-03,[JULIEN VICTOR],,"(46.6154512, 7.057726799999999)"
237,La Chaux du Milieu,CORBAK,2008-05-08,[HOMMAGE A CLAUDE NOUGARO],,"(47.0131911, 6.703647699999999)"
238,Boulogne Sur Mer,JAZZFESTIVAL BASEL,2008-05-09,[BALAZS NYARI],,"(50.725231, 1.613334)"
239,La Chaux du Milieu,CORBAK,2008-05-10,[TETES RAIDES],,"(47.0131911, 6.703647699999999)"
240,Winterthur,AFRO - PFINGSTEN,2008-05-11,[SOKAN],,"(47.4988196, 8.723688899999999)"
241,Lausanne,BALELEC,2008-05-16,[PUNISH YOURSELF],,"(46.5196535, 6.6322734)"
242,Sierre,SISMICS FESTIVAL,2008-05-21,[RYAN HAWKIN],,"(46.29413110000001, 7.533536199999999)"
243,Sierre,SISMICS FESTIVAL,2008-05-22,[DORIAN GRAY (METAL)],,"(46.29413110000001, 7.533536199999999)"
244,Sierre,SISMICS FESTIVAL,2008-05-23,[KOCANI ORKESTAR],,"(46.29413110000001, 7.533536199999999)"
245,Sierre,SISMICS FESTIVAL,2008-05-24,[BLACK HOLE],,"(46.29413110000001, 7.533536199999999)"
246,Geneve,MUSIQUES METISSES A GENEVE,2008-05-25,[BADENYA LES FRERES COULIBALY],,"(46.2043907, 6.1431577)"
247,Duedingen,BAD BONN KILBI,2008-05-29,[BLACK MOUNTAIN],,"(46.8464198, 7.191017899999999)"
248,Neuchatel,FESTI NEUCH,2008-05-30,[BOYS NOIZE],,"(46.9899874, 6.9292732)"
249,Neuchatel,FESTI NEUCH,2008-05-31,[THE STREETS],,"(46.9899874, 6.9292732)"
250,Lausanne,FESTIVAL DE GUITARE A LAUSANNE,2008-06-01,[ROBERTO AUSSEL],,"(46.5196535, 6.6322734)"
251,Pully,PULLY A L'HEURE DU QUEBEC,2008-06-03,"[CHARLES DUBE, ERIC BELANGER]",,"(46.5092681, 6.6654949)"
252,Pully,PULLY A L'HEURE DU QUEBEC,2008-06-04,"[DAMIEN ROBITAILLE, CAROLINE D'ETE]",,"(46.5092681, 6.6654949)"
253,Pully,PULLY A L'HEURE DU QUEBEC,2008-06-05,"[STEPHANE COTE, YVES SAVARD]",,"(46.5092681, 6.6654949)"
254,Pully,PULLY A L'HEURE DU QUEBEC,2008-06-06,"[VINCENT VALLIERES, MARIO BRASSARD]",,"(46.5092681, 6.6654949)"
255,Pully,PULLY A L'HEURE DU QUEBEC,2008-06-07,[SUROIT],,"(46.5092681, 6.6654949)"
256,Interlaken,GREENFIELD,2008-06-13,[APOCALYPTICA],,"(46.6863481, 7.863204899999999)"
257,Interlaken,GREENFIELD,2008-06-14,[OCEANSIZE],,"(46.6863481, 7.863204899999999)"
258,Interlaken,GREENFIELD,2008-06-15,[BIFFY CLYRO],,"(46.6863481, 7.863204899999999)"
259,Bienne,SWISS PRIDE,2008-06-21,"[CATHERINE D'OEX, MANDRAX]",,"(47.1367785, 7.2467909)"
260,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2008-06-27,[JAZZANOVA],,"(46.29413110000001, 7.533536199999999)"
261,Geneve,VILLAGE TROPICAL,2008-07-03,[RUMBA STEREO],,"(46.2043907, 6.1431577)"
262,Montreux,MONTREUX JAZZ FESTIVAL,2008-07-04,"[N.E.R.D., CANSEI DE SER SEXY (CSS)]",,"(46.4312213, 6.9106799)"
263,Montreux,MONTREUX JAZZ FESTIVAL,2008-07-05,"[JOE JACKSON, ASHER SELECTOR]",,"(46.4312213, 6.9106799)"
264,Montreux,MONTREUX JAZZ FESTIVAL,2008-07-06,"[JOAN BAEZ, CAMILLE]",,"(46.4312213, 6.9106799)"
265,Geneve,MUSIQUES EN ETE,2008-07-07,[DIDIER LOCKWOOD],,"(46.2043907, 6.1431577)"
266,Montreux,MONTREUX JAZZ FESTIVAL,2008-07-08,"[LEONARD COHEN, M.I.A (MIA)]",,"(46.4312213, 6.9106799)"
267,Geneve,MUSIQUES EN ETE,2008-07-09,[HOCUS POCUS],,"(46.2043907, 6.1431577)"
268,Montreux,MONTREUX JAZZ FESTIVAL,2008-07-10,"[TRAVIS, GOSSIP]",,"(46.4312213, 6.9106799)"
269,Geneve,MUSIQUES EN ETE,2008-07-11,[BEN'S BROTHER],,"(46.2043907, 6.1431577)"
270,Montreux,MONTREUX JAZZ FESTIVAL,2008-07-12,"[GILBERTO GIL, MARK RONSON]",,"(46.4312213, 6.9106799)"
271,Montreux,MONTREUX JAZZ FESTIVAL,2008-07-13,"[CHAKA KHAN, MILTON NASCIMENTO]",,"(46.4312213, 6.9106799)"
272,Geneve,MUSIQUES EN ETE,2008-07-14,[THE NEW YORK VOICES],,"(46.2043907, 6.1431577)"
273,Montreux,MONTREUX JAZZ FESTIVAL,2008-07-15,"[NIELS LANDGREN, BABYSHAMBLES]",,"(46.4312213, 6.9106799)"
274,Geneve,MUSIQUES EN ETE,2008-07-16,[FRERES GUISSE],,"(46.2043907, 6.1431577)"
275,Montreux,MONTREUX JAZZ FESTIVAL,2008-07-17,"[ALICIA KEYS, KATIE MELUA]",,"(46.4312213, 6.9106799)"
276,Montreux,MONTREUX JAZZ FESTIVAL,2008-07-18,"[CHICK COREA, EUGENIO BENNATO]",,"(46.4312213, 6.9106799)"
277,Montreux,MONTREUX JAZZ FESTIVAL,2008-07-19,"[DEEP PURPLE, PETE ROCK]",,"(46.4312213, 6.9106799)"
278,Zurich,LIVE AT SUNSET,2008-07-20,[BEN HARPER & THE INNOCENT CRIMINALS],,"(47.3768866, 8.541694)"
279,Geneve,MUSIQUES EN ETE,2008-07-21,[RAUL DE SOUZA],,"(46.2043907, 6.1431577)"
280,Nyon,PALEO FESTIVAL,2008-07-22,[BB BRUNES],,"(46.3832683, 6.2347852)"
281,Nyon,PALEO FESTIVAL,2008-07-23,[BONDE DO ROLE],,"(46.3832683, 6.2347852)"
282,Alterswil,STONE HILL,2008-07-24,[BREITBILD],,"(46.7948597, 7.260381300000001)"
283,Alterswil,STONE HILL,2008-07-25,[VIVE LA FETE],,"(46.7948597, 7.260381300000001)"
284,Alterswil,STONE HILL,2008-07-26,[ISLANDS],,"(46.7948597, 7.260381300000001)"
285,Nyon,PALEO FESTIVAL,2008-07-27,[ORQUESTRA DO FUBA],,"(46.3832683, 6.2347852)"
286,Geneve,MUSIQUES EN ETE,2008-07-28,[GIANNI BASSO],,"(46.2043907, 6.1431577)"
287,Geneve,MUSIQUES EN ETE,2008-07-30,[TROUBLE SHOOTIN],,"(46.2043907, 6.1431577)"
288,Geneve,VILLAGE TROPICAL,2008-07-31,[RUMBA STEREO],,"(46.2043907, 6.1431577)"
289,Geneve,VILLAGE TROPICAL,2008-08-01,[RUMBA STEREO],,"(46.2043907, 6.1431577)"
290,Geneve,VILLAGE TROPICAL,2008-08-02,[RUMBA STEREO],,"(46.2043907, 6.1431577)"
291,Geneve,VILLAGE TROPICAL,2008-08-04,[MOSQUITO SALSA CLUB],,"(46.2043907, 6.1431577)"
292,Geneve,MUSIQUES EN ETE,2008-08-06,[MOUSS  & HAKIM],,"(46.2043907, 6.1431577)"
293,Porrentruy,ROCK AIR PORRENTRUY,2008-08-07,[ALOAN],,"(47.416647, 7.0765657)"
294,Geneve,VILLAGE TROPICAL,2008-08-08,[EL PIQUETE],,"(46.2043907, 6.1431577)"
295,Geneve,VILLAGE TROPICAL,2008-08-09,[RUMBA STEREO],,"(46.2043907, 6.1431577)"
296,Geneve,VILLAGE TROPICAL,2008-08-10,[GRES UNIDO DE GENEVE],,"(46.2043907, 6.1431577)"
297,Geneve,MUSIQUES EN ETE,2008-08-11,[RANDY BRECKER],,"(46.2043907, 6.1431577)"
298,Geneve,MUSIQUES EN ETE,2008-08-13,[HELL'S KITCHEN],,"(46.2043907, 6.1431577)"
299,Gampel,OPEN AIR DE GAMPEL,2008-08-14,[DIE FANTASTISCHEN VIER],,"(46.3157745, 7.741944099999999)"
300,Gampel,OPEN AIR DE GAMPEL,2008-08-15,[OOMPH],,"(46.3157745, 7.741944099999999)"
301,Gampel,OPEN AIR DE GAMPEL,2008-08-16,[THE LOCOS],,"(46.3157745, 7.741944099999999)"
302,Gampel,OPEN AIR DE GAMPEL,2008-08-17,[ZURI WEST],,"(46.3157745, 7.741944099999999)"
303,Geneve,MUSIQUES EN ETE,2008-08-20,[ALOAN],,"(46.2043907, 6.1431577)"
304,Le Locle,ROCK ALTITUDE,2008-08-22,[ENTOMBED A.D.],,"(47.0577195, 6.7487354)"
305,Le Locle,ROCK ALTITUDE,2008-08-23,[FAT NO BRAIN],,"(47.0577195, 6.7487354)"
306,Saint Prex,LUNA CLASSICS (EX SAINT PREX CLASSICS),2008-08-29,[QUATUOR CALIENTE],,"(46.4829113, 6.458343500000001)"
307,Saint Prex,LUNA CLASSICS (EX SAINT PREX CLASSICS),2008-08-30,[QUATUOR CALIENTE],,"(46.4829113, 6.458343500000001)"
308,Geneve,FESTIVAL DE LA BATIE,2008-08-31,[LULUXPO],,"(46.2043907, 6.1431577)"
309,Geneve,FESTIVAL DE LA BATIE,2008-09-02,[RADIOCLIT],,"(46.2043907, 6.1431577)"
310,Geneve,FESTIVAL DE LA BATIE,2008-09-03,"[SCHTARNE 5I, ADAM KESHER, POLA]",,"(46.2043907, 6.1431577)"
311,Geneve,FESTIVAL DE LA BATIE,2008-09-05,[SOKO],,"(46.2043907, 6.1431577)"
312,Geneve,FESTIVAL DE LA BATIE,2008-09-06,[RAINER TRUBY],,"(46.2043907, 6.1431577)"
313,Geneve,FESTIVAL DE LA BATIE,2008-09-07,[KID CHOCOLAT],,"(46.2043907, 6.1431577)"
314,Geneve,FESTIVAL DE LA BATIE,2008-09-10,"[LOVE MOTEL, MINUS 8]",,"(46.2043907, 6.1431577)"
315,Lausanne,FESTIVAL OUF,2008-09-11,"[JACQUES HOSTETTLER, SAMUEL HALL BAND, LEON FRANCIOLI, LAURENT WEBER]",,"(46.5196535, 6.6322734)"
316,Lausanne,FESTIVAL OUF,2008-09-12,"[JACQUES HOSTETTLER, SAMUEL HALL BAND, LEON FRANCIOLI, YVES MASSY, GLENN FERRIS]",,"(46.5196535, 6.6322734)"
317,Lausanne,FESTIVAL OUF,2008-09-13,"[JACQUES HOSTETTLER, MARC PERRENOUD, FRANCOIS TSCHUMY, FRANCOIS MASSY, FLAVIO BOLTRO]",,"(46.5196535, 6.6322734)"
318,Lausanne,FESTIVAL OUF,2008-09-14,"[JACQUES HOSTETTLER, MARC PERRENOUD, FRANCOIS TSCHUMY, FRANCOIS MASSY, LEON FRANCIOLI]",,"(46.5196535, 6.6322734)"
319,Delemont,NOTES D'EQUINOXE,2008-09-26,[POUM TCHACK],,"(47.365837, 7.345155500000001)"
320,Delemont,NOTES D'EQUINOXE,2008-09-27,"[SOU SI TAI, TENGIR TOO, COROU DE BERRA]",,"(47.365837, 7.345155500000001)"
321,Delemont,NOTES D'EQUINOXE,2008-09-28,"[SOU SI TAI, BANSKI STARCHETA, TENGIR TOO]",,"(47.365837, 7.345155500000001)"
322,Chambery,TRANSVOISINES,2008-10-03,[NICOLAS FRAISSINET],,"(45.564601, 5.917781)"
323,Meythet,TRANSVOISINES,2008-10-09,[VINCENT GAFFET],,"(45.915603, 6.09208)"
324,Lyon,TRANSVOISINES,2008-10-10,[KRUGER],,"(45.764043, 4.835659)"
325,Vevey,ROCK N ORGE,2008-10-11,[REBEL FEST],,"(46.4628333, 6.8419192)"
326,Bulle,TRANSVOISINES,2008-10-17,[DOCTOR FLAKE],,"(46.6154512, 7.057726799999999)"
327,Geneve,JAZZCONTREBAND,2008-10-18,[TRE'],,"(46.2043907, 6.1431577)"
328,Geneve,JAZZCONTREBAND,2008-10-19,[HELENE LABARRIERE],,"(46.2043907, 6.1431577)"
329,Divonne Les Bains,JAZZCONTREBAND,2008-10-23,[YARON HERMAN],,"(46.358168, 6.136039999999999)"
330,Yverdon Les Bains,TRANSVOISINES,2008-10-24,[LOLE],,"(46.7784736, 6.641183)"
331,Geneve,JAZZCONTREBAND,2008-10-25,[JEB BISHOP],,"(46.2043907, 6.1431577)"
332,Divonne Les Bains,TRANSVOISINES,2008-10-31,[BURIDANE],,"(46.358168, 6.136039999999999)"
333,Lausanne,JAZZ ONZE +,2008-11-01,[MIGUEL ZENON],,"(46.5196535, 6.6322734)"
334,Lausanne,METROPOP FESTIVAL,2008-11-06,"[THE INFADELS, DJ BABOUIN]",,"(46.5196535, 6.6322734)"
335,Lausanne,METROPOP FESTIVAL,2008-11-07,"[LUCIOLE, MICKY GREEN, GENGHIS TRON, ERIC BORGO]",,"(46.5196535, 6.6322734)"
336,Lausanne,METROPOP FESTIVAL,2008-11-08,"[JUNIOR TSHAKA, SEBASTIEN TELLIER, PSY4 DE LA RIME, GAY AGAINST YOU]",,"(46.5196535, 6.6322734)"
337,Geneve,TAMBOUR BATTANT FESTIVAL,2008-11-28,[TIHAREA],,"(46.2043907, 6.1431577)"
338,Geneve,TAMBOUR BATTANT FESTIVAL,2008-11-29,"[DOBET GNAHORE, AMAZONES DE GUINEE]",,"(46.2043907, 6.1431577)"
339,Morgins,C'EST L'HIVER ! MORGINS FESTIVAL,2008-12-06,[TRUST],,"(46.2382, 6.8519)"
340,Duedingen,FR KATZ FESTIVAL,2008-12-11,[MIXHELL],,"(46.8464198, 7.191017899999999)"
341,Duedingen,FR KATZ FESTIVAL,2008-12-12,[DIMENSION X],,"(46.8464198, 7.191017899999999)"
342,Duedingen,FR KATZ FESTIVAL,2008-12-13,[DJ FETT],,"(46.8464198, 7.191017899999999)"
343,Geneve,LES TRAVERSES MUSICALES,2009-02-26,[PEP'S],,"(46.2043907, 6.1431577)"
344,Geneve,LES TRAVERSES MUSICALES,2009-02-27,[MANSIS],,"(46.2043907, 6.1431577)"
345,Geneve,LES TRAVERSES MUSICALES,2009-02-28,[YELIN],,"(46.2043907, 6.1431577)"
346,Sciez sur Leman,VIBRATIONS METISSAGES,2009-03-13,[MAXXO],,"(46.33118, 6.374149999999999)"
347,Sciez sur Leman,VIBRATIONS METISSAGES,2009-03-14,[THE BOX MANGLE],,"(46.33118, 6.374149999999999)"
348,Geneve,ELECTRON,2009-04-09,"[RICO TUBBS, 2 MANY DJ'S, SALLY DOHERTY]",,"(46.2043907, 6.1431577)"
349,Geneve,ELECTRON,2009-04-10,"[AGORIA, DJ MEHDI, HELIOCENTRICS, MR SCRUFF]",,"(46.2043907, 6.1431577)"
350,Geneve,ELECTRON,2009-04-11,"[DJ CHLOE, MODESELEKTOR, NATIS]",,"(46.2043907, 6.1431577)"
351,Geneve,ELECTRON,2009-04-12,[PRINS THOMAS],,"(46.2043907, 6.1431577)"
352,Bale (Basel),JAZZFESTIVAL BASEL,2009-04-19,[VIKTORIA TOLSTOY],,"(47.5595986, 7.5885761)"
353,Bale (Basel),JAZZFESTIVAL BASEL,2009-04-20,[STACEY KENT],,"(47.5595986, 7.5885761)"
354,Bale (Basel),JAZZFESTIVAL BASEL,2009-04-21,[STEFAN RUSCONI],,"(47.5595986, 7.5885761)"
355,Villeurbanne,ZIKEMO,2009-04-22,[NI SHYE],,"(45.771944, 4.8901709)"
356,Villeurbanne,ZIKEMO,2009-04-23,[SIDILARSEN],,"(45.771944, 4.8901709)"
357,Bale (Basel),JAZZFESTIVAL BASEL,2009-04-24,"[DOMENIC LANDOLF, NAT SU]",,"(47.5595986, 7.5885761)"
358,Bale (Basel),JAZZFESTIVAL BASEL,2009-04-26,[ALY KEITA],,"(47.5595986, 7.5885761)"
359,Bale (Basel),JAZZFESTIVAL BASEL,2009-04-27,[ALDO ROMANO],,"(47.5595986, 7.5885761)"
360,Bale (Basel),JAZZFESTIVAL BASEL,2009-04-28,[INCOGNITO],,"(47.5595986, 7.5885761)"
361,Bale (Basel),JAZZFESTIVAL BASEL,2009-04-29,[NIK BARTSCH'S],,"(47.5595986, 7.5885761)"
362,Bale (Basel),JAZZFESTIVAL BASEL,2009-04-30,[ROSARIO GIULIANI],,"(47.5595986, 7.5885761)"
363,Bale (Basel),JAZZFESTIVAL BASEL,2009-05-01,[PHILIP CATHERINE],,"(47.5595986, 7.5885761)"
364,Bale (Basel),JAZZFESTIVAL BASEL,2009-05-02,[TAMBOURS DE BRAZZA],,"(47.5595986, 7.5885761)"
365,Bale (Basel),JAZZFESTIVAL BASEL,2009-05-03,[GERARDO NUNEZ],,"(47.5595986, 7.5885761)"
366,Vernier,VERNIER SUR ROCK,2009-05-08,[ZAM ZAM],,"(46.2122638, 6.1052686)"
367,Vernier,VERNIER SUR ROCK,2009-05-09,[LAS AVES (ex THE DODOZ)],,"(46.2122638, 6.1052686)"
368,Lausanne,FESTIVAL DE GUITARE A LAUSANNE,2009-05-10,[VICTOR PELLEGRINI],,"(46.5196535, 6.6322734)"
369,Thonex,LES RENCONTRES MUSICALES A THONEX,2009-05-15,[N&SK (NOMADES ET SKAETERA)],,"(46.19283739999999, 6.202767)"
370,Thonex,LES RENCONTRES MUSICALES A THONEX,2009-05-16,[FUNNY BONES],,"(46.19283739999999, 6.202767)"
371,Pratteln,METALFEST,2009-05-21,[TEXTURES],,"(47.5183198, 7.6919889)"
372,Pratteln,METALFEST,2009-05-22,[FIREWIND],,"(47.5183198, 7.6919889)"
373,Pratteln,METALFEST,2009-05-23,[KEEP OF KALESSIN],,"(47.5183198, 7.6919889)"
374,La Chaux du Milieu,CORBAK,2009-05-28,[ABD AL MALIK],,"(47.0131911, 6.703647699999999)"
375,Montreux,MOTION OPENAIR,2009-05-29,[DAVID GUETTA],,"(46.4312213, 6.9106799)"
376,Montreux,MOTION OPENAIR,2009-05-30,[MAX B GRANT],,"(46.4312213, 6.9106799)"
377,Montreux,MOTION OPENAIR,2009-05-31,[MARTIN SOLVEIG],,"(46.4312213, 6.9106799)"
378,Neuchatel,FESTI NEUCH,2009-06-04,"[LIMP BIZKIT, ZEBRA (Antoine)]",,"(46.9899874, 6.9292732)"
379,Neuchatel,FESTI NEUCH,2009-06-05,"[KEZIAH JONES, ROUND TABLE KNIGHTS]",,"(46.9899874, 6.9292732)"
380,Neuchatel,FESTI NEUCH,2009-06-06,[RAPHAEL],,"(46.9899874, 6.9292732)"
381,Neuchatel,FESTI NEUCH,2009-06-07,[EMIR KUSTURICA & THE NO SMOKING ORCHESTRA],,"(46.9899874, 6.9292732)"
382,Sierre,SISMICS FESTIVAL,2009-06-10,"[LA FANFARE EN PETARD, ZAI ON, GLEN OF GUINNESS]",,"(46.29413110000001, 7.533536199999999)"
383,Geneve,VILLAGE TROPICAL,2009-06-11,[RUMBA STEREO],,"(46.2043907, 6.1431577)"
384,Geneve,VILLAGE TROPICAL,2009-06-12,[RUMBA STEREO],,"(46.2043907, 6.1431577)"
385,Geneve,VILLAGE TROPICAL,2009-06-13,[RUMBA STEREO],,"(46.2043907, 6.1431577)"
386,Geneve,VILLAGE TROPICAL,2009-06-14,[RUMBA STEREO],,"(46.2043907, 6.1431577)"
387,Geneve,VILLAGE TROPICAL,2009-06-15,[RUMBA STEREO],,"(46.2043907, 6.1431577)"
388,Geneve,VILLAGE TROPICAL,2009-06-16,[RUMBA STEREO],,"(46.2043907, 6.1431577)"
389,Geneve,VILLAGE TROPICAL,2009-06-17,[RUMBA STEREO],,"(46.2043907, 6.1431577)"
390,Geneve,VILLAGE TROPICAL,2009-06-18,[RUMBA STEREO],,"(46.2043907, 6.1431577)"
391,Geneve,VILLAGE TROPICAL,2009-06-19,[RUMBA STEREO],,"(46.2043907, 6.1431577)"
392,Geneve,VILLAGE TROPICAL,2009-06-20,[RUMBA STEREO],,"(46.2043907, 6.1431577)"
393,Geneve,VILLAGE TROPICAL,2009-06-21,[YURI BUENAVENTURA],,"(46.2043907, 6.1431577)"
394,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2009-06-26,[GILLES PETERSON],,"(46.29413110000001, 7.533536199999999)"
395,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2009-06-27,[CHUCK LOVE],,"(46.29413110000001, 7.533536199999999)"
396,Fribourg,BELLUARD BOLLWERK INTERNATIONAL,2009-06-30,[ANDRE DURACELL],,"(46.8064773, 7.161971899999999)"
397,Montreux,MONTREUX JAZZ FESTIVAL,2009-07-03,"[OSCAR D'LEON, UNDERWORLD]",,"(46.4312213, 6.9106799)"
398,Montreux,MONTREUX JAZZ FESTIVAL,2009-07-04,"[STEELY DAN, BLACK MILK]",,"(46.4312213, 6.9106799)"
399,Montreux,MONTREUX JAZZ FESTIVAL,2009-07-05,"[HERBIE HANCOCK, ALELA DIANE]",,"(46.4312213, 6.9106799)"
400,Montreux,MONTREUX JAZZ FESTIVAL,2009-07-06,"[BLACK EYED PEAS, ERIK LEWIS aka ELEW]",,"(46.4312213, 6.9106799)"
401,Montreux,MONTREUX JAZZ FESTIVAL,2009-07-07,"[LILY ALLEN, JAMIE CULLUM]",,"(46.4312213, 6.9106799)"
402,Geneve,MUSIQUES EN ETE,2009-07-08,[GURU'S JAZZMATAZZ],,"(46.2043907, 6.1431577)"
403,Montreux,MONTREUX JAZZ FESTIVAL,2009-07-09,"[THE DEREK TRUCKS BAND, RAPHAEL SAADIQ]",,"(46.4312213, 6.9106799)"
404,Geneve,MUSIQUES EN ETE,2009-07-10,[GONG LINNA],,"(46.2043907, 6.1431577)"
405,Montreux,MONTREUX JAZZ FESTIVAL,2009-07-11,"[NATURALLY 7, GRACE JONES]",,"(46.4312213, 6.9106799)"
406,Montreux,MONTREUX JAZZ FESTIVAL,2009-07-12,"[BB KING, DJ KRUSH]",,"(46.4312213, 6.9106799)"
407,Montreux,MONTREUX JAZZ FESTIVAL,2009-07-13,"[GEORGE BENSON, MARIANNE FAITHFULL]",,"(46.4312213, 6.9106799)"
408,Geneve,MUSIQUES EN ETE,2009-07-14,[OPERA DE CHAMBRE DE GENEVE],,"(46.2043907, 6.1431577)"
409,Geneve,MUSIQUES EN ETE,2009-07-15,"[OPERA DE CHAMBRE DE GENEVE, DAVID KRAKAUER]",,"(46.2043907, 6.1431577)"
410,Montreux,MONTREUX JAZZ FESTIVAL,2009-07-16,"[STATUS QUO, ALLEN TOUSSAINT]",,"(46.4312213, 6.9106799)"
411,Geneve,MUSIQUES EN ETE,2009-07-17,"[OPERA DE CHAMBRE DE GENEVE, RODOLPHE BURGER]",,"(46.2043907, 6.1431577)"
412,Geneve,MUSIQUES EN ETE,2009-07-18,[OPERA DE CHAMBRE DE GENEVE],,"(46.2043907, 6.1431577)"
413,Zurich,LIVE AT SUNSET,2009-07-19,[KATIE MELUA],,"(47.3768866, 8.541694)"
414,Geneve,JAZZ ESTIVAL - MUSIQUE EN ETE,2009-07-20,[IVAN LINS],,"(46.2043907, 6.1431577)"
415,Nyon,PALEO FESTIVAL,2009-07-21,[PLACEBO],,"(46.3832683, 6.2347852)"
416,Alterswil,STONE HILL,2009-07-23,[ZZZ...],,"(46.7948597, 7.260381300000001)"
417,Alterswil,STONE HILL,2009-07-24,[OVERDRIVE AMP EXPLOSION],,"(46.7948597, 7.260381300000001)"
418,Alterswil,STONE HILL,2009-07-25,[JOHN DOE],,"(46.7948597, 7.260381300000001)"
419,Nyon,PALEO FESTIVAL,2009-07-26,[BENABAR],,"(46.3832683, 6.2347852)"
420,Geneve,JAZZ ESTIVAL - MUSIQUE EN ETE,2009-07-27,[BOB MINTZER],,"(46.2043907, 6.1431577)"
421,Geneve,MUSIQUES EN ETE,2009-07-28,[BELCEA QUARTET],,"(46.2043907, 6.1431577)"
422,Geneve,MUSIQUES EN ETE,2009-07-29,[LALO ZANELLI],,"(46.2043907, 6.1431577)"
423,Geneve,MUSIQUES EN ETE,2009-07-30,[NATHALIE STUTZMANN],,"(46.2043907, 6.1431577)"
424,Geneve,MUSIQUES EN ETE,2009-07-31,[GETACHEW MEKURIA],,"(46.2043907, 6.1431577)"
425,Geneve,JAZZ ESTIVAL - MUSIQUE EN ETE,2009-08-03,[RICHARD GALLIANO],,"(46.2043907, 6.1431577)"
426,Geneve,MUSIQUES EN ETE,2009-08-04,[QUATUOR BORODINE],,"(46.2043907, 6.1431577)"
427,Geneve,MUSIQUES EN ETE,2009-08-05,[AMELIE LES CRAYONS],,"(46.2043907, 6.1431577)"
428,Porrentruy,ROCK AIR PORRENTRUY,2009-08-06,[PHIL HERISSON],,"(47.416647, 7.0765657)"
429,Porrentruy,ROCK AIR PORRENTRUY,2009-08-07,[MASS HYSTERIA],,"(47.416647, 7.0765657)"
430,Porrentruy,ROCK AIR PORRENTRUY,2009-08-08,[ROCOLA BACALAO],,"(47.416647, 7.0765657)"
431,Pregny,PREGNY ALP FESTIVAL,2009-08-09,[LES SUISS MELODIE],,"(46.2420331, 6.1435559)"
432,Geneve,JAZZ ESTIVAL - MUSIQUE EN ETE,2009-08-10,[JERRY BERGONZI],,"(46.2043907, 6.1431577)"
433,Geneve,MUSIQUES EN ETE,2009-08-11,[QUATUOR HUGO WOLF],,"(46.2043907, 6.1431577)"
434,Geneve,MUSIQUES EN ETE,2009-08-12,[NOJAZZ],,"(46.2043907, 6.1431577)"
435,Gampel,OPEN AIR DE GAMPEL,2009-08-13,[STOCKITOWN],,"(46.3157745, 7.741944099999999)"
436,Gampel,OPEN AIR DE GAMPEL,2009-08-14,[DS PERSONAL],,"(46.3157745, 7.741944099999999)"
437,Gampel,OPEN AIR DE GAMPEL,2009-08-15,[ASAF AVIDAN],,"(46.3157745, 7.741944099999999)"
438,Gampel,OPEN AIR DE GAMPEL,2009-08-16,[MAD MANOUSH],,"(46.3157745, 7.741944099999999)"
439,Geneve,MUSIQUES EN ETE,2009-08-18,[FAZIL SAY],,"(46.2043907, 6.1431577)"
